placa,outcomes_total,last_outcome_at,days_since_last_outcome,last_plan_type,last_protections_used,last_protections_allowed,last_plan_status,last_plan_valid_until,last_plan_reset_cycle_days,last_plan_requires_manual_review,protections_remaining,check_in_synthetic_protection_all,escalate_fault_check_synthetic_protection_all,investigate_consumption_synthetic_protection_all,offer_protection_synthetic_protection_all,payment_reminder_synthetic_protection_all,prepare_advance_payment_synthetic_protection_all,record_payment_promise_synthetic_protection_all,check_in_synthetic_protection_30d,escalate_fault_check_synthetic_protection_30d,investigate_consumption_synthetic_protection_30d,offer_protection_synthetic_protection_30d,payment_reminder_synthetic_protection_30d,prepare_advance_payment_synthetic_protection_30d,record_payment_promise_synthetic_protection_30d,check_in_synthetic_protection_90d,escalate_fault_check_synthetic_protection_90d,investigate_consumption_synthetic_protection_90d,offer_protection_synthetic_protection_90d,payment_reminder_synthetic_protection_90d,prepare_advance_payment_synthetic_protection_90d,record_payment_promise_synthetic_protection_90d,check_in_synthetic_protection_180d,escalate_fault_check_synthetic_protection_180d,investigate_consumption_synthetic_protection_180d,offer_protection_synthetic_protection_180d,payment_reminder_synthetic_protection_180d,prepare_advance_payment_synthetic_protection_180d,record_payment_promise_synthetic_protection_180d,last_behaviour_tags,last_behaviour_notes,protections_flag_negative,protections_flag_expired,protections_flag_manual
LAB-052,1,2025-10-29T17:46:58Z,0,proteccion_basica,0,2,active,2026-03-06,240,False,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-053,1,2025-10-29T17:46:58Z,0,proteccion_total,2,3,active,2026-05-07,365,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-054,1,2025-10-29T17:46:58Z,0,proteccion_ilimitada,0,4,active,2026-04-30,180,False,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-055,1,2025-10-29T17:46:58Z,0,proteccion_total,0,3,active,2026-06-02,365,False,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-056,1,2025-10-29T17:46:58Z,0,proteccion_caduca,0,2,active,2026-04-04,365,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-059,1,2025-10-29T17:46:58Z,0,proteccion_caduca,0,2,active,2026-04-01,365,False,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-060,1,2025-10-29T17:46:58Z,0,proteccion_total,1,3,active,2026-01-31,365,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-061,1,2025-10-29T17:46:58Z,0,proteccion_total,0,3,active,2026-02-01,365,False,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-064,1,2025-10-29T17:46:58Z,0,proteccion_caduca,1,2,active,2026-04-22,365,True,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,True
LAB-065,1,2025-10-29T17:46:58Z,0,proteccion_total,2,3,active,2026-04-21,365,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-066,1,2025-10-29T17:46:58Z,0,proteccion_caduca,1,2,active,2026-04-02,365,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-067,1,2025-10-29T17:46:58Z,0,proteccion_total,2,3,active,2026-02-22,365,False,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-068,1,2025-10-29T17:46:58Z,0,proteccion_basica,0,2,active,2026-02-21,240,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-069,1,2025-10-29T17:46:58Z,0,proteccion_caduca,1,2,active,2026-05-30,365,False,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-070,1,2025-10-29T17:46:58Z,0,proteccion_light,0,1,active,2026-02-11,180,False,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-071,1,2025-10-29T17:46:58Z,0,proteccion_basica,1,2,active,2026-05-09,240,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-073,1,2025-10-29T17:46:58Z,0,proteccion_total,2,3,active,2026-03-28,365,False,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-074,1,2025-10-29T17:46:58Z,0,proteccion_basica,0,2,active,2026-05-29,240,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-075,1,2025-10-29T17:46:58Z,0,proteccion_total,1,3,active,2026-06-03,365,False,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-079,1,2025-10-29T17:46:58Z,0,proteccion_ilimitada,3,4,expired,2026-05-27,180,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,False,True,True
LAB-080,1,2025-10-29T17:46:58Z,0,proteccion_basica,0,2,expired,2026-05-24,240,True,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,False,True,True
LAB-082,1,2025-10-29T17:46:58Z,0,proteccion_caduca,1,2,active,2026-01-15,365,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-084,1,2025-10-29T17:46:58Z,0,proteccion_basica,0,2,active,2026-01-11,240,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-085,1,2025-10-29T17:46:58Z,0,proteccion_total,1,3,active,2026-04-24,365,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-086,1,2025-10-29T17:46:58Z,0,proteccion_total,0,3,active,2026-05-04,365,False,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-087,1,2025-10-29T17:46:58Z,0,proteccion_ilimitada,3,4,active,2026-02-02,180,False,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,False,False,False
LAB-089,1,2025-10-29T17:46:59Z,0,proteccion_basica,1,2,active,2026-02-20,240,False,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-091,1,2025-10-29T17:46:59Z,0,proteccion_basica,0,2,active,2026-04-27,240,False,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-096,1,2025-10-29T17:46:59Z,0,proteccion_basica,0,2,active,2026-01-02,240,False,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-097,1,2025-10-29T17:46:59Z,0,proteccion_ilimitada,1,4,active,2026-04-23,180,False,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-098,1,2025-10-29T17:46:59Z,0,proteccion_caduca,0,2,active,2026-02-07,365,False,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-101,1,2025-10-29T17:46:59Z,0,proteccion_total,1,3,active,2026-06-04,365,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-102,1,2025-10-29T17:46:59Z,0,proteccion_total,1,3,active,2026-06-02,365,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-103,1,2025-10-29T17:46:59Z,0,proteccion_caduca,0,2,active,2026-04-23,365,False,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-104,1,2025-10-29T17:46:59Z,0,proteccion_total,2,3,active,2026-05-17,365,False,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-105,1,2025-10-29T17:46:59Z,0,proteccion_total,1,3,active,2026-03-17,365,False,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,False,False,False
LAB-107,1,2025-10-29T17:46:59Z,0,proteccion_ilimitada,3,4,expired,2026-03-13,180,True,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,True,True
LAB-108,1,2025-10-29T17:46:59Z,0,proteccion_basica,1,2,active,2026-01-02,240,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-109,1,2025-10-29T17:46:59Z,0,proteccion_light,0,1,active,2026-02-11,180,False,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,False,False,False
LAB-112,1,2025-10-29T17:46:59Z,0,proteccion_ilimitada,0,4,expired,2026-04-29,180,True,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,False,True,True
LAB-113,1,2025-10-29T17:46:59Z,0,proteccion_total,0,3,active,2025-12-17,365,False,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-114,1,2025-10-29T17:46:59Z,0,proteccion_total,2,3,active,2025-12-18,365,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-115,1,2025-10-29T17:46:59Z,0,proteccion_total,1,3,active,2025-12-14,365,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-117,1,2025-10-29T17:46:59Z,0,proteccion_basica,0,2,active,2025-12-17,240,False,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-118,1,2025-10-29T17:46:59Z,0,proteccion_caduca,0,2,active,2025-12-21,365,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-119,1,2025-10-29T17:46:59Z,0,proteccion_total,1,3,active,2026-02-05,365,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-120,1,2025-10-29T17:46:59Z,0,proteccion_ilimitada,1,4,active,2026-03-07,180,False,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-121,1,2025-10-29T17:46:59Z,0,proteccion_total,2,3,active,2026-05-18,365,False,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-122,1,2025-10-29T17:47:00Z,0,proteccion_light,0,1,active,2026-02-14,180,False,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-124,1,2025-10-29T17:47:00Z,0,proteccion_basica,0,2,active,2026-05-11,240,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-125,1,2025-10-29T17:47:00Z,0,proteccion_basica,0,2,active,2026-04-18,240,False,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-126,1,2025-10-29T17:47:00Z,0,proteccion_total,0,3,active,2026-01-06,365,False,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-127,1,2025-10-29T17:47:00Z,0,proteccion_total,1,3,active,2026-02-15,365,False,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-128,1,2025-10-29T17:47:00Z,0,proteccion_basica,0,2,active,2026-03-17,240,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-130,1,2025-10-29T17:47:00Z,0,proteccion_basica,1,2,active,2026-01-28,240,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-131,1,2025-10-29T17:47:00Z,0,proteccion_light,0,1,active,2026-01-16,180,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-133,1,2025-10-29T17:47:00Z,0,proteccion_ilimitada,3,4,active,2026-03-09,180,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-134,1,2025-10-29T17:47:00Z,0,proteccion_total,0,3,active,2026-02-07,365,False,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-136,1,2025-10-29T17:47:00Z,0,proteccion_total,2,3,active,2026-01-18,365,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-137,1,2025-10-29T17:47:00Z,0,proteccion_basica,0,2,active,2026-05-07,240,False,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-138,1,2025-10-29T17:47:00Z,0,proteccion_total,2,3,active,2025-12-14,365,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-142,1,2025-10-29T17:47:00Z,0,proteccion_basica,1,2,active,2026-05-01,240,True,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,True
LAB-143,1,2025-10-29T17:47:00Z,0,proteccion_light,0,1,active,2026-01-07,180,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-144,1,2025-10-29T17:47:00Z,0,proteccion_basica,0,2,active,2026-05-12,240,False,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-146,1,2025-10-29T17:47:00Z,0,proteccion_total,1,3,active,2026-03-23,365,False,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-148,1,2025-10-29T17:47:00Z,0,proteccion_caduca,0,2,active,2026-05-11,365,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-149,1,2025-10-29T17:47:00Z,0,proteccion_basica,0,2,active,2026-03-25,240,False,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,False,False,False
LAB-150,1,2025-10-29T17:47:00Z,0,proteccion_total,0,3,active,2025-12-26,365,False,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,False,False,False
LAB-151,1,2025-10-29T17:47:01Z,0,proteccion_caduca,1,2,active,2026-01-07,365,False,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,False,False,False
LAB-152,1,2025-10-29T17:47:01Z,0,proteccion_light,0,1,active,2026-04-15,180,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-153,1,2025-10-29T17:47:01Z,0,proteccion_light,0,1,active,2025-12-15,180,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,False,False,False
LAB-154,1,2025-10-29T17:47:01Z,0,proteccion_caduca,0,2,active,2026-01-23,365,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-155,1,2025-10-29T17:47:01Z,0,proteccion_caduca,0,2,active,2026-04-23,365,False,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-157,1,2025-10-29T17:47:01Z,0,proteccion_total,0,3,active,2026-02-05,365,False,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,False,False,False
LAB-158,1,2025-10-29T17:47:01Z,0,proteccion_basica,1,2,active,2026-01-02,240,False,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-159,1,2025-10-29T17:47:01Z,0,proteccion_ilimitada,1,4,active,2026-05-14,180,False,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-160,1,2025-10-29T17:47:01Z,0,proteccion_light,0,1,active,2026-04-15,180,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,False,False,False
LAB-162,1,2025-10-29T17:47:01Z,0,proteccion_total,0,3,active,2026-05-24,365,False,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
LAB-163,1,2025-10-29T17:47:01Z,0,proteccion_caduca,1,2,active,2026-04-29,365,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,False,False,False
LAB-164,1,2025-10-29T17:47:01Z,0,proteccion_total,1,3,active,2025-12-25,365,False,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,False,False,False
